FID,id,onoma,the_geom
4f097ff9-4fbb-4411-86f3-1e7e621df61a.42,43,Νεα Αγχιαλου LGBL VOL Βόλος,POINT (22.778231686763604 39.219619311851105)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.43,44,Λαμία LG53,POINT (22.43653493026926 38.873154398957794)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.44,45,Μόλου,POINT (22.660348103766395 38.82697612573198)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.45,46,Ίκαρος Κωπαϊδα - Ιδιοκτησία ( Απόστολου Μοσχώνη ),POINT (23.137044098644733 38.43166258348124)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.46,47,Δήμητρα Ιδιοκτησία ( Παπαδόπουλου ),POINT (23.13429634924758 38.4564919495735)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.47,48,Θηβαι,POINT (23.256571195934143 38.37595905437034)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.48,49,Τανάγρα LGTG,POINT (23.579637185125065 38.33701355944996)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.49,50,Κοτρόνη LGKN Μαραθώνας,POINT (23.951096947170925 38.139831145408756)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.50,51,Δεκελεια LGTT Τατόι,POINT (23.783124717583192 38.10787187494068)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.51,52,Ελευσις LGEL,POINT (23.55616575639737 38.065628636610256)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.52,53,Μέγαρα LGMG,POINT (23.364028740445182 37.98110943639704)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.53,54,Ελευθέριος Βενιζέλος LGAV ATH Διεθνή,POINT (23.945164890433936 37.93733480841831)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.54,55,Ελληνικό LGAT HEW Διεθνή,POINT (23.730994519740136 37.8897646374592)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.55,56,Λήμνου LGLM LXS,POINT (25.235477171470894 39.92275457027331)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.56,57,Μαγνησίας-Σκιάθος-Αλέξανδρος Παπαδιαμάντης (ΚΑΣΚ) LGSK/JSI-2427029105,POINT (23.503984196803945 39.1778573696624)
