,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev
0,0101010101,Κομοτηνή,50990,50450,44421,43326,38532,37036,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Κομοτηνή,η,η,,,
1,0101010102,Ήφαιστος,1706,1707,1505,1519,1263,1285,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Ήφαιστος,ο,ο,41.13019,25.38395,
2,0101010103,Μέγα Κρανοβούνι,149,153,223,227,296,302,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μέγα Κρανοβούνιον,το,το,41.06083,25.33409,
3,0101010104,Μεσοχώρι,119,119,161,161,151,154,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μεσοχώριον,το,το,41.09327,25.35536,
4,0101010105,Μικρό Κρανοβούνι,159,161,199,198,215,227,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Μικρόν Κρανοβούνιον,το,το,,,
5,0101010106,Παραδημή,434,433,554,551,575,581,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Παραδημή,η,η,41.07822,25.33288,
6,0101010107,Σχολή Αστυνομίας,335,333,281,274,0,0,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Σχολή Αστυνομίας,η,η,41.10568,25.33018,
7,0101010108,Υφαντές,380,378,330,330,347,342,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κομοτηνής,Υφανταί,οι,οι,,,
8,0101010201,Ανθοχώρι,82,79,140,142,127,127,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Ανθοχωρίου,Ανθοχώριον,το,το,41.08534,25.53789,
9,0101010301,Γρατινή,365,362,525,533,593,587,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Γρατίνης,Γρατινή,η,η,41.14352,25.53142,
10,0101010401,Θρυλόρι,620,622,616,629,542,560,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Θρυλόριον,το,το,41.07683,25.48253,
11,0101010402,Ροδίτης,1018,1112,748,753,591,637,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Ροδίτης,ο,ο,41.09921,25.45489,
12,0101010403,Φύλακας,272,271,269,269,264,263,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Φύλακας,ο,ο,41.0567,25.47687,
13,0101010501,Ιτέα,77,77,71,71,70,70,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Ιτέας,Ιτέα,η,η,41.09365,25.37533,
