asciiName,adminId2,adminId3,adminId1,lat,adminCode2,adminCode3,adminCode1,lng,toponymName,population,adminName3,adminName2,name,adminName1,elevation,greek_name,nomos
Agios Georgios Sklivanis,261777.0,8133720.0,6697804.0,39.42228,17.0,9081.0,ESYE21,20.94742,Ágios Geórgios Sklívanis,40,Dodoni,ΙΩΑΝΝΙΝΩΝ,Agios Georgios Sklivanis,Epirus,,Άγιος Γεώργιος Σκλίβανης,ΙΩΑΝΝΙΝΩΝ
Agios Georgios,264545.0,8133816.0,6697804.0,39.28968,20.0,9075.0,ESYE21,21.10147,Ágios Geórgios,0,Central Tzoumerka,ΑΡΤΑΣ,Ágios Geórgios,Epirus,,Άγιος Γεώργιος,ΑΡΤΑΣ
Agios Georgios,254695.0,8133741.0,6697804.0,39.26703,19.0,9088.0,ESYE21,20.85428,Ágios Geórgios,745,Ziros,ΠΡΕΒΕΖΑΣ,Ágios Geórgios,Epirus,,Άγιος Γεώργιος,ΠΡΕΒΕΖΑΣ
Agios Thomas,254695.0,8133743.0,6697804.0,38.97539,19.0,9090.0,ESYE21,20.78794,Ágios Thomás,0,Preveza,ΠΡΕΒΕΖΑΣ,Ágios Thomás,Epirus,,Άγιος Θωμάς,ΠΡΕΒΕΖΑΣ
Ayios Nikolaos Niras,258445.0,8133851.0,6697805.0,38.59215,26.0,9121.0,ESYE22,20.5589,Áyios Nikólaos Nirás,9,ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ,Agios Nikolaos Niras,Ionian Islands,,Άγιος Νικόλαος Νηράς,ΛΕΥΚΑΔΑΣ
Agios Nikolaos,265508.0,8133701.0,6697810.0,38.73233,31.0,9124.0,ESYE23,21.10972,Ágios Nikólaos,0,Aktio-Vonitsa,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Ágios Nikólaos,West Greece,,Άγιος Νικόλαος,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Agios Ioannis,260310.0,8133849.0,6697805.0,38.39108,27.0,9117.0,ESYE22,20.66083,Ágios Ioánnis,0,Ithaca,ΚΕΦΑΛΛΗΝΙΑΣ,Ágios Ioánnis,Ionian Islands,,Άγιος Ιωάννης,ΚΕΦΑΛΛΗΝΙΑΣ
Agios Donatos,252941.0,8133726.0,6697804.0,39.47531,18.0,9078.0,ESYE21,20.50783,Ágios Donátos,262,Souli,ΘΕΣΠΡΟΤΙΑΣ,Ágios Donátos,Epirus,,Άγιος Δονάτος,ΘΕΣΠΡΟΤΙΑΣ
Agioi Saranta,260310.0,8133849.0,6697805.0,38.46456,27.0,9117.0,ESYE22,20.64719,Ágioi Saránta,0,Ithaca,ΚΕΦΑΛΛΗΝΙΑΣ,Ágioi Saránta,Ionian Islands,,Άγιοι Σαράντα,ΚΕΦΑΛΛΗΝΙΑΣ
Agioi Pantes,252941.0,8133728.0,6697804.0,39.71675,18.0,9079.0,ESYE21,20.35092,Ágioi Pántes,0,Filiates,ΘΕΣΠΡΟΤΙΑΣ,Ágioi Pántes,Epirus,,Άγιοι Πάντες,ΘΕΣΠΡΟΤΙΑΣ
Agia Paraskevi,264545.0,8133727.0,6697804.0,39.09903,20.0,9076.0,ESYE21,20.99108,Agía Paraskeví,685,Nikolaos Skoufas,ΑΡΤΑΣ,Agía Paraskeví,Epirus,,Αγία Παρασκευή,ΑΡΤΑΣ
Agia Mavra,252941.0,8133726.0,6697804.0,39.50403,18.0,9078.0,ESYE21,20.49658,Agía Mávra,0,Souli,ΘΕΣΠΡΟΤΙΑΣ,Agía Mávra,Epirus,,Αγία Μαύρα,ΘΕΣΠΡΟΤΙΑΣ
Agia Marina,252941.0,8133725.0,6697804.0,39.47069,18.0,9077.0,ESYE21,20.31428,Agía Marína,164,Igoumenitsa,ΘΕΣΠΡΟΤΙΑΣ,Agía Marína,Epirus,,Αγία Μαρίνα,ΘΕΣΠΡΟΤΙΑΣ
Agia Kyriaki,254695.0,8133742.0,6697804.0,39.28467,19.0,9089.0,ESYE21,20.44769,Agía Kyriakí,172,Parga,ΠΡΕΒΕΖΑΣ,Agía Kyriakí,Epirus,,Αγία Κυριακή,ΠΡΕΒΕΖΑΣ
Agia,254695.0,8133742.0,6697804.0,39.31294,19.0,9089.0,ESYE21,20.35856,Agiá,918,Parga,ΠΡΕΒΕΖΑΣ,Agiá,Epirus,,Αγιά,ΠΡΕΒΕΖΑΣ
Avlotopos,252941.0,8133726.0,6697804.0,39.41719,18.0,9078.0,ESYE21,20.62503,Avlótopos,306,Souli,ΘΕΣΠΡΟΤΙΑΣ,Avlótopos,Epirus,,Αυλότοπος,ΘΕΣΠΡΟΤΙΑΣ
Atsoupades,260310.0,8133850.0,6697805.0,38.08878,27.0,9120.0,ESYE22,20.70486,Atsoupádes,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Atsoupádes,Ionian Islands,,Ατσουπάδες,ΚΕΦΑΛΛΗΝΙΑΣ
Assos,254695.0,8133741.0,6697804.0,39.34258,19.0,9088.0,ESYE21,20.76606,Ássos,297,Ziros,ΠΡΕΒΕΖΑΣ,Ássos,Epirus,,Άσσος,ΠΡΕΒΕΖΑΣ
