code,location,mon_plith,astikotita,orinotita,ekt
1110102011101,"Εσοχή,η",323,,,
11101020112,Τοπική Κοινότητα Κάτω Δροσινής,66,False,1.0,4.757
1110102011201,"Κάτω Δροσινή,η",66,,,
11101020113,Τοπική Κοινότητα Λαμπρού,492,False,0.0,5.68
1110102011301,"Λαμπρόν,το",492,,,
11101020114,Τοπική Κοινότητα Νέου Καλλυντήριου,241,False,0.0,10.312
1110102011401,"Νέον Καλλυντήριον,το",241,,,
11101020115,Τοπική Κοινότητα Νεύρων,158,False,0.0,8.472
1110102011501,"Νεύρα,τα",158,,,
11101020116,Τοπική Κοινότητα Ομηρικού,313,False,0.0,4.606
1110102011601,"Ομηρικόν,το",313,,,
11101020117,Τοπική Κοινότητα Πάσσου,747,False,0.0,14.318
1110102011701,"Πάσσος,ο",747,,,
11101020118,Τοπική Κοινότητα Πατερμών,109,False,1.0,12.16
1110102011801,"Πατερμά,τα",109,,,
11101020119,Τοπική Κοινότητα Ραγάδας,270,False,2.0,36.981
1110102011901,"Ραγάδα,η",270,,,
11101020120,Τοπική Κοινότητα Σκιάδας,86,False,1.0,8.207
1110102012001,"Σκιάδα,η",86,,,
111010202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΡΙΑΝΩΝ,5589,,1.0,178.202
11101020201,Τοπική Κοινότητα Αρριανών,1147,False,0.0,13.391
1110102020101,"Αρριανά,τα",1147,,,
11101020202,Τοπική Κοινότητα Αγιοχωρίου,226,False,1.0,17.858
1110102020201,"Αγιοχώριον,το",226,,,
11101020203,Τοπική Κοινότητα Δαρμένης,314,False,0.0,5.289
1110102020301,"Δαρμένη,η",314,,,
11101020204,Τοπική Κοινότητα Δειλινών,307,False,0.0,4.082
1110102020401,"Δειλινά,τα",307,,,
11101020205,Τοπική Κοινότητα Ηπίου,265,False,0.0,10.11
1110102020501,"Ήπιον,το",265,,,
11101020206,Τοπική Κοινότητα Κινύρων,171,False,0.0,6.822
1110102020601,"Κίνυρα,τα",171,,,
11101020207,Τοπική Κοινότητα Λυκείου,1016,False,0.0,10.723
1110102020701,"Λύκειον,το",1016,,,
11101020208,Τοπική Κοινότητα Μικρού Πιστού,433,False,0.0,3.778
1110102020801,"Μικρόν Πιστόν,το",433,,,
11101020209,Τοπική Κοινότητα Μύστακα,419,False,0.0,4.673
1110102020901,"Μύστακας,ο",419,,,
11101020210,Τοπική Κοινότητα Νέδας,246,False,1.0,16.6
1110102021001,"Νέδα,η",246,,,
11101020211,Τοπική Κοινότητα Νικητών,94,False,0.0,4.488
1110102021101,"Νικηταί,οι",94,,,
11101020212,Τοπική Κοινότητα Πλαγιάς,294,False,2.0,41.153
1110102021201,"Πλαγιά,η",294,,,
11101020213,Τοπική Κοινότητα Σκαλώματος,318,False,0.0,4.974
1110102021301,"Σκάλωμα,το",318,,,
11101020214,Τοπική Κοινότητα Στροφής,339,False,2.0,34.261
1110102021401,"Στροφή,η",339,,,
111010203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΕΧΡΟΥ,1222,,2.0,141.653
11101020301,Τοπική Κοινότητα Κέχρου,1222,False,2.0,141.653
1110102030101,"Κέχρος,ο",199,,,
1110102030102,"Άνω Καμπή,η",23,,,
1110102030103,"Βούρλα,τα",30,,,
1110102030104,"Κάμπος,ο",76,,,
1110102030105,"Κερασιά,η",125,,,
1110102030106,"Μικρός Κέχρος,ο",103,,,
1110102030107,"Μοναστήριον,το",74,,,
1110102030108,"Τσούκκα,η",65,,,
1110102030109,"Χαμηλόν,το",84,,,
1110102030110,"Χαράδρα,η",113,,,
1110102030111,"Χλόη,η",330,,,
111010204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΟΡΓΑΝΗΣ,2183,,2.0,217.483
11101020401,Δημοτική Κοινότητα Οργάνης,2183,False,2.0,217.483
1110102040101,"Οργάνη,η",496,,,
1110102040102,"Άνω Κάρδαμος,ο",52,,,
1110102040103,"Βυρσίνη,η",307,,,
1110102040104,"Δρανιά,η",164,,,
1110102040105,"Καλύβια,τα",51,,,
1110102040106,"Κάρδαμος,ο",178,,,
1110102040107,"Κάτω Βυρσίνη,η",77,,,
1110102040108,"Κόβαλον,το",58,,,
1110102040109,"Κύμη,η",306,,,
1110102040110,"Μυρτίσκη,η",385,,,
1110102040111,"Σμιγάδα,η",109,,,
1110103,ΔΗΜΟΣ ΙΑΣΜΟΥ,13810,,,487.198
111010301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΑΣΜΟΥ,5703,,0.0,222.488
11101030101,Δημοτική Κοινότητα Ιάσμου,4399,True,1.0,161.614
1110103010101,"Ίασμος,ο",2586,,,
1110103010102,"Γαλήνη,η",289,,,
1110103010103,"Διαλαμπή,η",469,,,
1110103010104,"Ιππικόν,το",37,,,
1110103010105,"Κοπτερόν,το",810,,,
1110103010106,"Μελίταινα,η",15,,,
1110103010107,"Μωσαϊκόν,το",193,,,
11101030102,Τοπική Κοινότητα Αμβροσίας,766,False,0.0,21.929
1110103010201,"Αμβροσία,η",432,,,
1110103010202,"Μικρόν Παλλάδιον,το",60,,,
1110103010203,"Παλλάδιον,το",274,,,
11101030103,Τοπική Κοινότητα Σάλπης,538,False,0.0,38.945
1110103010301,"Σάλπη,η",470,,,
1110103010302,"Γλυκονέριον,το",68,,,
111010302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΜΑΞΑΔΩΝ,1773,,1.0,34.655
11101030201,Τοπική Κοινότητα Αμαξάδων,1773,False,1.0,34.655
1110103020101,"Αμαξάδες,οι",1195,,,
1110103020102,"Άνω Αμαξάδες,οι",563,,,
1110103020103,"Μοναχοί,οι",15,,,
111010303,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΩΣΤΟΥ,6334,,1.0,230.055
11101030301,Τοπική Κοινότητα Σώστη,712,False,2.0,38.191
1110103030101,"Σώστης,ο",712,,,
11101030302,Δημοτική Κοινότητα Ασωμάτων,2851,False,1.0,75.268
1110103030201,"Αγίασμα,το",326,,,
1110103030202,"Ασώματοι,οι",712,,,
1110103030203,"Δύμη,η",403,,,
1110103030204,"Θάμνα,τα",513,,,
1110103030205,"Φοιτητικές Εστίες Δ.Π.Θ.,οι",346,,,
1110103030206,"Ρίζωμα,το",287,,,
1110103030207,"Φωλέα,η",264,,,
11101030303,Τοπική Κοινότητα Κερασέας,8,False,2.0,16.271
1110103030301,"Κερασέα,η",8,,,
11101030304,Τοπική Κοινότητα Ληνού,411,False,0.0,6.977
1110103030401,"Ληνός,ο",411,,,
11101030305,Τοπική Κοινότητα Μέγα Πιστού,886,False,0.0,14.067
1110103030501,"Μέγα Πιστόν,το",886,,,
11101030306,Τοπική Κοινότητα Μίσχου,729,False,0.0,13.518
1110103030601,"Μίσχος,ο",729,,,
11101030307,Τοπική Κοινότητα Πολυάνθου,737,False,1.0,65.763
1110103030701,"Πολύανθον,το",712,,,
1110103030702,"Κρυστάλλη,η",9,,,
1110103030703,"Τρίκορφον,το",16,,,
1110104,ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,14733,,,643.988
111010401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΑΠΩΝ,8383,,0.0,356.862
11101040101,Δημοτική Κοινότητα Σαπών,4988,True,0.0,130.921
1110104010101,"Σάπαι,οι",3351,,,
1110104010102,"Αετοκορυφή,η",87,,,
1110104010103,"Αρσάκειον,το",660,,,
1110104010104,"Βέλκιον,το",329,,,
1110104010105,"Κασσιτερά,τα",17,,,
1110104010106,"Πρωτάτον,το",278,,,
1110104010107,"Τσιφλίκιον,το",87,,,
1110104010108,"Χαμηλόν,το",179,,,
11101040102,Τοπική Κοινότητα Αμφίας,359,False,0.0,5.392
1110104010201,"Αμφία,τα",359,,,
11101040103,Τοπική Κοινότητα Αρίσβης,1054,False,0.0,9.928
1110104010301,"Αρίσβη,η",1054,,,
11101040104,Τοπική Κοινότητα Εβρίνου,455,False,0.0,12.59
1110104010401,"Εβρίνος,ο",455,,,
11101040105,Τοπική Κοινότητα Ιασίου,83,False,0.0,6.429
1110104010501,"Ιάσιον,το",83,,,
11101040106,Τοπική Κοινότητα Κιζαρίου,45,False,1.0,17.344
1110104010601,"Κιζάριον,το",45,,,
11101040107,Τοπική Κοινότητα Κρωβύλης,416,False,0.0,51.017
1110104010701,"Κρωβύλη,η",129,,,
1110104010702,"Παλαιά Κρωβύλη,η",277,,,
1110104010703,"Πετρωτά,τα",10,,,
11101040108,Τοπική Κοινότητα Λοφαρίου,528,False,0.0,27.449
1110104010801,"Λοφάριον,το",489,,,
1110104010802,"Αετόλοφος,ο",39,,,
11101040109,Τοπική Κοινότητα Νέας Σάντας,188,False,2.0,65.413
1110104010901,"Νέα Σάντα,η",188,,,
11101040110,Τοπική Κοινότητα Στρύμης,267,False,0.0,30.379
1110104011001,"Στρύμη,η",101,,,
1110104011002,"Διώνη,η",166,,,
111010402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΑΡΩΝΕΙΑΣ,6350,,0.0,287.126
11101040201,Δημοτική Κοινότητα Ξυλαγανής,1575,False,0.0,59.519
1110104020101,"Ξυλαγανή,η",1180,,,
1110104020102,"Εργάνη,η",347,,,
1110104020103,"Νέα Πέτρα,η",48,,,
11101040202,Δημοτική Κοινότητα Αμαράντων,1918,False,0.0,40.505
1110104020201,"Αμάραντα,τα",624,,,
1110104020202,"Βάκος,ο",432,,,
1110104020203,"Ίσαλον,το",490,,,
1110104020204,"Καλλιθέα,η",137,,,
1110104020205,"Πάμφορον,το",235,,,
11101040203,Τοπική Κοινότητα Ιμέρου,276,False,0.0,20.957
1110104020301,"Ίμερος,ο",270,,,
1110104020302,"Αμπελάκια,τα",6,,,
11101040204,Τοπική Κοινότητα Μαρωνείας,570,False,0.0,76.207
1110104020401,"Μαρώνεια,η",427,,,
1110104020402,"Άγιος Χαράλαμπος,ο",3,,,
1110104020403,"Άνω Ασκηταί,οι",49,,,
1110104020404,"Ασκηταί,οι",68,,,
1110104020405,"Πλατανίτης,ο",23,,,
11101040205,Τοπική Κοινότητα Μιράνων,1250,False,0.0,30.137
1110104020501,"Μίρανα,τα",286,,,
1110104020502,"Βέννα,η",619,,,
1110104020503,"Σαλμώνη,η",345,,,
11101040206,Τοπική Κοινότητα Πελαγίας,44,False,0.0,10.575
1110104020601,"Πελαγία,η",44,,,
11101040207,Τοπική Κοινότητα Προσκυνητών,717,False,0.0,49.226
1110104020701,"Προσκυνηταί,οι",597,,,
1110104020702,"Αλκυών,η",6,,,
1110104020703,"Παραθεριστικός Οικ. Συνετ/σμός Υπαλ. ΔΕΗ Κομοτηνής,ο",16,,,
1110104020704,"Κρυονέρι,το",50,,,
1110104020705,"Λεύκες,οι",14,,,
1110104020706,"Προφήτης Ηλίας,ο",34,,,
11102,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,98287,,,3464.707
1110201,ΔΗΜΟΣ ΔΡΑΜΑΣ,58944,,,839.851
111020101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,58532,,1.0,488.359
11102010101,Δημοτική Κοινότητα Δράμας,45828,True,0.0,59.092
1110201010101,"Δράμα,η",44823,,,
1110201010102,"Αμπελάκια,τα",322,,,
1110201010103,"Νέα Σεβάστεια,η",518,,,
1110201010104,"Ταξιάρχαι,οι",146,,,
1110201010105,"Τιμόθεος,ο",19,,,
11102010102,Τοπική Κοινότητα Καλλιφύτου,1600,False,1.0,39.148
1110201010201,"Καλλίφυτος,η",1282,,,
1110201010202,"Πανόραμα,το",318,,,
11102010103,Τοπική Κοινότητα Καλού Αγρού,1178,False,0.0,14.05
1110201010301,"Καλός Αγρός,ο",1178,,,
11102010104,Τοπική Κοινότητα Κουδουνίων,996,False,0.0,10.062
1110201010401,"Κουδούνια,τα",996,,,
11102010105,Τοπική Κοινότητα Λιβαδερού,139,False,2.0,123.084
1110201010501,"Λιβαδερόν,το",73,,,
1110201010502,"Δενδράκια,τα",26,,,
1110201010503,"Χαράδρα,η",40,,,
11102010106,Τοπική Κοινότητα Μακρυπλαγίου,49,False,2.0,72.991
1110201010601,"Μακρυπλάγιον,το",40,,,
1110201010602,"Πολύκαρπος,ο",9,,,
11102010107,Τοπική Κοινότητα Μαυροβάτου,736,False,0.0,7.537
1110201010701,"Μαυρόβατος,ο",736,,,
11102010108,Τοπική Κοινότητα Μικροχωρίου,630,False,0.0,5.951
1110201010801,"Μικροχώριον,το",630,,,
11102010109,Τοπική Κοινότητα Μοναστηρακίου,883,False,1.0,30.747
1110201010901,"Μοναστηράκιον,το",785,,,
1110201010902,"Βαθύλακκος,ο",98,,,
11102010110,Τοπική Κοινότητα Μυλοποτάμου,711,False,0.0,11.316
1110201011001,"Μυλοπόταμος,ο",711,,,
