,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,astikotita,orinotita
10,1110101010401,Θρυλόρι,620,622,616,629,542,560,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Θρυλόριον,το,το,41.07683,25.48253,,False,0.0
11,1110101010402,Ροδίτης,1018,1112,748,753,591,637,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Ροδίτης,ο,ο,41.09921,25.45489,,False,0.0
12,1110101010403,Φύλακας,272,271,269,269,264,263,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Θρυλορίου,Φύλακας,ο,ο,41.0567,25.47687,,False,0.0
13,1110101010501,Ιτέα,77,77,71,71,70,70,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Ιτέας,Ιτέα,η,η,41.09365,25.37533,,False,0.0
14,1110101010601,Κάλχας,634,604,644,643,642,635,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Κάλχας,ο,ο,41.14031,25.46459,,False,2.0
15,1110101010602,Ιάμπολιδα,173,165,145,145,158,158,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Ιάμπολις,η,η,,,,False,2.0
16,1110101010603,Μεγάλη Άδα,9,9,9,9,25,25,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Μεγάλη Άδα,η,η,41.23363,25.53556,,False,2.0
17,1110101010604,Μύτικας,5,5,6,6,36,35,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Μύτικας,ο,ο,,,,False,2.0
18,1110101010605,Σαρακηνή,40,39,78,78,187,187,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Σαρακηνή,η,η,41.28815,25.55199,,False,2.0
19,1110101010606,Τυχηρό,299,300,302,302,335,335,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Κάλχαντος,Τυχηρόν,το,το,41.16817,25.4639,,False,2.0
20,1110101010701,Καρυδιά,357,365,245,245,215,220,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,Καρυδιάς,Καρυδιά,η,η,41.14508,25.43726,,False,0.0
